"link","Link_url","count"
"[Rd] installing spam package is failing (spam_0.29-1) ","https://stat.ethz.ch/pipermail/r-devel/2012-July/064418.html",21
"[Rd] cat with backspace and newline characters ","https://stat.ethz.ch/pipermail/r-devel/2013-November/067860.html",21
"[Rd] Improving string concatenation ","https://stat.ethz.ch/pipermail/r-devel/2015-June/071395.html",21
"[Rd] length of `...` ","https://stat.ethz.ch/pipermail/r-devel/2018-May/076130.html",21
"[Rd] Re: [R-SIG-Mac] R version on gifi ","https://stat.ethz.ch/pipermail/r-devel/2003-June/026856.html",20
"[Rd] ChangeLog for R packages {was ""Wish list""} ","https://stat.ethz.ch/pipermail/r-devel/2004-January/028534.html",20
"[Rd] about integration of a  library into package creation ","https://stat.ethz.ch/pipermail/r-devel/2006-June/038048.html",20
"[Rd] relist, an inverse operator to unlist ","https://stat.ethz.ch/pipermail/r-devel/2007-May/045722.html",20
"[Rd] question ","https://stat.ethz.ch/pipermail/r-devel/2009-March/052428.html",20
"[Rd] License status of CRAN packages ","https://stat.ethz.ch/pipermail/r-devel/2009-April/053144.html",20
"[Rd] suggestion for R >= 3.0: computer-readable CHANGELOG ","https://stat.ethz.ch/pipermail/r-devel/2009-April/053029.html",20
"[Rd] How to document man/*.Rd pages with images? ","https://stat.ethz.ch/pipermail/r-devel/2011-May/060974.html",20
"[Rd] Historical NA question ","https://stat.ethz.ch/pipermail/r-devel/2014-May/068966.html",20
"[Rd] Support for user defined unary functions ","https://stat.ethz.ch/pipermail/r-devel/2017-March/073889.html",20
"[Rd] Subsetting the ""ROW""s of an object ","https://stat.ethz.ch/pipermail/r-devel/2018-June/076285.html",20
"[Rd] vctrs: a type system for the tidyverse ","https://stat.ethz.ch/pipermail/r-devel/2018-August/076550.html",20
"[Rd] [R] Open a file which name contains a tilde ","https://stat.ethz.ch/pipermail/r-devel/2019-June/077961.html",20
"[Rd] rsync -> cvs down? ","https://stat.ethz.ch/pipermail/r-devel/2004-July/030183.html",19
"[Rd] as.missing ","https://stat.ethz.ch/pipermail/r-devel/2006-October/043269.html",19
"[Rd] compiling R under cygwin ","https://stat.ethz.ch/pipermail/r-devel/2007-August/046681.html",19
"[Rd] Error in R CMD INSTALL on Windows XP using Rtools28 ","https://stat.ethz.ch/pipermail/r-devel/2008-December/051503.html",19
"[Rd] SVN vs DVCS ","https://stat.ethz.ch/pipermail/r-devel/2010-May/057559.html",19
"[Rd] R vs. C ","https://stat.ethz.ch/pipermail/r-devel/2011-January/059611.html",19
"[Rd] Latest R-devel build failing on OS X ","https://stat.ethz.ch/pipermail/r-devel/2016-May/072737.html",19
"[Rd] R (development) changes in arith, logic, relop with (0-extent) arrays ","https://stat.ethz.ch/pipermail/r-devel/2016-September/073080.html",19
"[Rd] Samples of external code with various compilers? ","https://stat.ethz.ch/pipermail/r-devel/2002-December/025539.html",18
"[Rd] barplot manpage (PR#7331) ","https://stat.ethz.ch/pipermail/r-devel/2004-November/031198.html",18
"[Rd] Enhanced version of plot.lm() ","https://stat.ethz.ch/pipermail/r-devel/2005-April/032935.html",18
"[Rd] ""+"" for character method... ","https://stat.ethz.ch/pipermail/r-devel/2006-August/038991.html",18
"[Rd] Help for methods ","https://stat.ethz.ch/pipermail/r-devel/2006-September/042721.html",18
"[Rd] R CMD check should check date in description ","https://stat.ethz.ch/pipermail/r-devel/2008-April/048920.html",18
"[Rd] package development ","https://stat.ethz.ch/pipermail/r-devel/2008-December/051561.html",18
"[Rd] Match .3 in a sequence ","https://stat.ethz.ch/pipermail/r-devel/2009-March/052648.html",18
"[Rd] update.packages fails with directory not found ","https://stat.ethz.ch/pipermail/r-devel/2010-May/057427.html",18
"[Rd] C or Java code generation ","https://stat.ethz.ch/pipermail/r-devel/2010-August/058152.html",18
"[Rd] Request: Suggestions for ""good teaching"" packages, esp. with C code ","https://stat.ethz.ch/pipermail/r-devel/2011-February/059958.html",18
"[Rd] CRAN package with dependencies on Bioconductor ","https://stat.ethz.ch/pipermail/r-devel/2011-June/061282.html",18
"[Rd] bug in sum() on integer vector ","https://stat.ethz.ch/pipermail/r-devel/2011-December/062774.html",18
"[Rd] How to handle INT8 data ","https://stat.ethz.ch/pipermail/r-devel/2017-January/073623.html",18
"[Rd] Citation for R ","https://stat.ethz.ch/pipermail/r-devel/2005-June/033590.html",17
"[Rd] Wish list ","https://stat.ethz.ch/pipermail/r-devel/2007-January/044122.html",17
"[Rd] suggested modification to the 'mle' documentation? ","https://stat.ethz.ch/pipermail/r-devel/2007-December/047642.html",17
"[Rd] as.numeric(levels(factor(x))) may be a decreasing sequence ","https://stat.ethz.ch/pipermail/r-devel/2009-May/053481.html",17
"[Rd] CRAN Server download statistics (Was: R Usage Statistics) ","https://stat.ethz.ch/pipermail/r-devel/2009-November/055758.html",17
"[Rd] suggestion how to use memcpy in duplicate.c ","https://stat.ethz.ch/pipermail/r-devel/2010-April/057249.html",17
